species,cpi,house sales,gas price,gold price,usd to pound,usd to euro,unemployment,s and p 500,volatility,cpi pdiff,house sales pdiff,gas price pdiff,gold price pdiff,usd to pound pdiff,usd to euro pdiff,unemployment pdiff,s and p 500 pdiff,volatility pdiff
negative,171.1581395,866,1.4426,281.8,0.63174,1.04618,4,1441.61,26.12,0.000135892,-0.005740528,-0.017837691,0.002133713,-0.000313322,0.004165707,0,-0.03930454,-0.04146789
positive,171.1813953,861,1.4336,280,0.633354,1.06479,4,1477.44,25.24,0.000135873,-0.005773672,-0.006238736,-0.006387509,0.002554849,0.017788526,0,0.024854156,-0.033690658
negative,171.2434783,854.2173913,1.427,275,0.644039,1.09387,4,1446.29,28.5,0.000362673,-0.007877594,-0.004603795,-0.017857143,0.016870502,0.027310549,0,-0.021083767,0.129160063
negative,171.4608696,840.3043478,1.4624,276.9,0.653313,1.11354,4,1412.14,28.93,0.001269487,-0.016287474,0.024807288,0.006909091,0.014399749,0.017982027,0,-0.023612139,0.015087719
positive,171.6782609,826.3913043,1.499,275.7,0.661547,1.09391,4,1466.04,24.34,0.001267877,-0.016557148,0.025027352,-0.004333694,0.012603453,-0.017628464,0,0.03816902,-0.158658832
negative,171.8956522,812.4782609,1.5296,275.15,0.670638,1.11056,4,1373.86,25.87,0.001266272,-0.016835903,0.020413609,-0.001994922,0.013742032,0.015220631,0,-0.062876866,0.062859491
positive,172.1130435,798.5652174,1.5446,274.4,0.670122,1.07419,4,1422.45,23.62,0.00126467,-0.017124204,0.009806485,-0.002725786,-0.000769417,-0.032749244,0,0.035367505,-0.086973328
positive,172.2348837,796.8372093,1.5766,284.8,0.660001,1.05549,4.006976744,1457.84,23.05,0.000707908,-0.002163891,0.020717338,0.037900875,-0.01510322,-0.017408466,0.001744186,0.024879609,-0.024132091
neutral,172.2930233,803.2325581,1.641,293,0.66177,1.04917,4.018604651,1469.44,21.67,0.00033756,0.008025916,0.040847393,0.028792135,0.002680299,-0.00598774,0.002901915,0.007956977,-0.059869848
neutral,172.3511628,809.627907,1.6764,286.4,0.660924,1.04183,4.030232558,1475.95,20.88,0.000337446,0.007962014,0.021572212,-0.022525597,-0.00127839,-0.006996006,0.002893519,0.004430259,-0.03645593
negative,172.4093023,816.0232558,1.6514,284.2,0.666918,1.06761,4.041860465,1450.55,21.8,0.000337332,0.007899121,-0.014912909,-0.007681564,0.009069121,0.02474492,0.00288517,-0.017209255,0.044061303
neutral,172.4674419,822.4186047,1.6186,287.8,0.660211,1.05123,4.053488372,1457.885,20.495,0.000337218,0.007837214,-0.019861935,0.012667136,-0.010056709,-0.015342681,0.00287687,0.005056703,-0.059862385
positive,172.5255814,828.8139535,1.5836,283.6,0.660665,1.04974,4.065116279,1480.88,20.11,0.000337104,0.00777627,-0.021623625,-0.014593468,0.000687659,-0.001417387,0.002868617,0.015772849,-0.01878507
neutral,172.5837209,835.2093023,1.5408,282.65,0.668159,1.06732,4.076744186,1493.74,19.75,0.000336991,0.007716266,-0.027027027,-0.003349788,0.011343116,0.016747004,0.002860412,0.008684026,-0.017901542
negative,172.6418605,841.6046512,1.5102,278.75,0.65949,1.07038,4.088372093,1474.47,19.39,0.000336877,0.007657181,-0.019859813,-0.013797983,-0.012974457,0.002866994,0.002852253,-0.012900505,-0.018227848
negative,172.7,848,1.4692,277.3,0.666427,1.0799,4.1,1438.1,20.55,0.000336764,0.007598994,-0.027148722,-0.005201794,0.010518734,0.008894038,0.002844141,-0.02466649,0.059824652
positive,172.8956522,861.9130435,1.459,274,0.662798,1.1011,4.056521739,1482.8,18.79,0.001132902,0.016406891,-0.006942554,-0.011900469,-0.005445458,0.019631447,-0.010604454,0.031082679,-0.085644769
neutral,173.0913043,875.826087,1.4512,274.7,0.665088,1.10518,4.013043478,1484.43,17.98,0.00113162,0.01614205,-0.005346127,0.002554745,0.00345505,0.003705386,-0.010718114,0.001099272,-0.043108036
neutral,173.2869565,889.7391304,1.4706,274,0.671874,1.10669,3.969565217,1498.13,17.47,0.001130341,0.015885624,0.013368247,-0.002548234,0.010203161,0.001366293,-0.010834236,0.009229132,-0.02836485
neutral,173.4826087,903.6521739,1.4908,274,0.680281,1.10948,3.926086957,1509.84,16.89,0.001129065,0.015637217,0.01373589,0,0.012512763,0.002521031,-0.010952903,0.007816411,-0.033199771
neutral,173.627907,910.5116279,1.5362,276.2,0.68469,1.1125,3.9,1507.08,19.82,0.000837538,0.007590812,0.030453448,0.008029197,0.006481145,0.002721996,-0.006644518,-0.001828008,0.173475429
negative,173.6976744,906.7906977,1.5612,272.8,0.709649,1.15992,3.9,1481.99,18.59,0.000401822,-0.004086637,0.016273923,-0.01230992,0.036452993,0.042624719,0,-0.016648088,-0.062058527
negative,173.7674419,903.0697674,1.5592,272,0.713568,1.1717,3.9,1459.9,19.54,0.00040166,-0.004103406,-0.001281066,-0.002932551,0.005522448,0.010155873,0,-0.014905634,0.051102743
negative,173.8372093,899.3488372,1.5432,274.05,0.688379,1.14299,3.9,1427.21,21.88,0.000401499,-0.004120313,-0.010261673,0.007536765,-0.03530007,-0.024502859,0,-0.022391945,0.11975435
neutral,173.9069767,895.627907,1.5196,272.4,0.679955,1.13586,3.9,1426.46,21.85,0.000401338,-0.00413736,-0.015292898,-0.006020799,-0.012237445,-0.006238025,0,-0.000525501,-0.001371115
negative,173.9767442,891.9069767,1.5094,269.75,0.690647,1.15109,3.9,1387.02,24.86,0.000401177,-0.004154549,-0.006712293,-0.009728341,0.01572457,0.013408343,0,-0.027648865,0.137757437
negative,174.0465116,888.1860465,1.5414,270.55,0.689941,1.17227,3.9,1349.97,27.84,0.000401016,-0.004171882,0.021200477,0.002965709,-0.00102223,0.018399951,0,-0.026711944,0.119871279
positive,174.1162791,884.4651163,1.5498,270.4,0.688612,1.19291,3.9,1398.13,24.28,0.000400855,-0.004189359,0.005449591,-0.000554426,-0.001926252,0.017606865,0,0.035674867,-0.127873563
positive,174.1860465,880.744186,1.5412,263.8,0.688371,1.18967,3.9,1429.4,23.63,0.000400695,-0.004206984,-0.005549103,-0.024408284,-0.000349979,-0.002716047,0,0.022365588,-0.026771005
neutral,174.2727273,898.7272727,1.5254,264.1,0.696157,1.15756,3.9,1431.87,24.91,0.000497633,0.020418059,-0.010251752,0.001137225,0.011310761,-0.026990678,0,0.001727998,0.05416843
negative,174.3636364,922.1363636,1.5204,264.5,0.69754,1.16251,3.9,1382.95,26.81,0.000521648,0.026046935,-0.003277829,0.001514578,0.001986621,0.004276236,0,-0.034165113,0.076274589
negative,174.4545455,945.5454545,1.51,267.25,0.702673,1.17602,3.9,1347.35,26.62,0.000521376,0.025385715,-0.006840305,0.010396975,0.007358718,0.011621405,0,-0.025742073,-0.007086908
neutral,174.5454545,968.9545455,1.5052,269.75,0.708581,1.18047,3.9,1336.09,27.64,0.000521105,0.024757235,-0.003178808,0.009354537,0.008407894,0.003783949,0,-0.008357146,0.038317055
positive,174.6952381,978.5238095,1.4786,271.85,0.690323,1.12907,3.928571429,1376.54,24.99,0.000858135,0.009875865,-0.01767207,0.007784986,-0.025766991,-0.043541979,0.007326007,0.030274907,-0.095875543
neutral,174.9333333,967.3333333,1.4436,271,0.688415,1.13554,4,1371.18,24.88,0.001362918,-0.01143608,-0.02367104,-0.003126724,-0.002763924,0.00573038,0.018181818,-0.003893821,-0.004401761
negative,175.1714286,956.1428571,1.4204,269.45,0.678269,1.1174,4.071428571,1305.6,27.17,0.001361063,-0.011568376,-0.016070934,-0.005719557,-0.014738203,-0.015974779,0.017857143,-0.047827419,0.092041801
neutral,175.4095238,944.952381,1.4124,274.45,0.677111,1.08155,4.142857143,1315.19,28.73,0.001359213,-0.01170377,-0.005632216,0.018556318,-0.001707287,-0.032083408,0.01754386,0.007345282,0.057416268
negative,175.6173913,937.173913,1.4098,272.8,0.669067,1.06168,4.2,1283.27,29.99,0.001185041,-0.008231598,-0.001840838,-0.006012024,-0.011879884,-0.018371781,0.013793103,-0.024270258,0.043856596
positive,175.7043478,943.0434783,1.4348,267.75,0.667046,1.05045,4.2,1300.8,27.99,0.000495148,0.006263048,0.017733012,-0.01851173,-0.003020624,-0.010577575,0,0.013660414,-0.066688896
positive,175.7913043,948.9130435,1.4734,264.5,0.676791,1.05683,4.2,1326.65,25.28,0.000494903,0.006224066,0.026902704,-0.012138189,0.014609187,0.006073588,0,0.019872386,-0.096820293
positive,175.8782609,954.7826087,1.4688,267.1,0.683119,1.06639,4.2,1360.4,21.57,0.000494658,0.006185567,-0.003122031,0.009829868,0.009350006,0.00904592,0,0.025440018,-0.146756329
neutral,175.9652174,960.6521739,1.4566,263.4,0.685346,1.0876,4.2,1373.73,22.57,0.000494413,0.006147541,-0.0083061,-0.01385249,0.003260047,0.019889534,0,0.009798589,0.046360686
negative,176.015,959.4,1.4496,264.55,0.678939,1.06639,4.215,1352.26,21.98,0.000282912,-0.001303462,-0.004805712,0.004365983,-0.009348563,-0.019501655,0.003571429,-0.015628981,-0.026140895
negative,176.04,953.4,1.4706,261.5,0.689762,1.07596,4.24,1318.8,21.37,0.000142033,-0.006253909,0.014486755,-0.011529012,0.015941049,0.008974203,0.005931198,-0.024743762,-0.027752502
negative,176.065,947.4,1.4454,258.3,0.691278,1.08798,4.265,1278.94,24.69,0.000142013,-0.006293266,-0.017135863,-0.012237094,0.00219786,0.011171419,0.005896226,-0.030224446,0.155357978
negative,176.09,941.4,1.4282,268.1,0.690206,1.09327,4.29,1257.94,26.49,0.000141993,-0.006333122,-0.01189982,0.037940379,-0.001550751,0.004862222,0.005861665,-0.016419848,0.07290401
neutral,176.1837209,935.2325581,1.416,262.6,0.681065,1.07322,4.3,1253.8,25.89,0.000532233,-0.006551351,-0.008542221,-0.020514733,-0.013243872,-0.018339477,0.002331002,-0.003291095,-0.022650057
negative,176.3232558,928.9534884,1.4104,269.4,0.682401,1.07459,4.3,1197.66,27.55,0.000791985,-0.006713913,-0.003954802,0.025894897,0.001961634,0.001276532,0,-0.044775881,0.06411742
negative,176.4627907,922.6744186,1.404,262.6,0.700109,1.11352,4.3,1142.62,30.96,0.000791358,-0.006759294,-0.00453772,-0.025241277,0.025949552,0.036227771,0,-0.045956281,0.123774955
positive,176.6023256,916.3953488,1.4116,262.75,0.698812,1.11791,4.3,1182.17,27.04,0.000790733,-0.006805293,0.005413105,0.000571211,-0.001852569,0.003942453,0,0.034613432,-0.126614987
negative,176.7418605,910.1162791,1.4536,257,0.705587,1.13926,4.3,1106.46,34.72,0.000790108,-0.006851922,0.029753471,-0.02188392,0.009695025,0.019098138,0,-0.064043243,0.284023669
positive,176.8813953,903.8372093,1.5142,257.05,0.693342,1.11212,4.3,1168.38,29.44,0.000789484,-0.006899195,0.041689598,0.000194553,-0.017354345,-0.023822481,0,0.055962258,-0.152073733
positive,177.0209302,897.5581395,1.5806,262.15,0.696191,1.12682,4.3,1191.81,25.61,0.000788861,-0.006947125,0.043851539,0.019840498,0.004109083,0.013217998,0,0.020053407,-0.130095109
positive,177.1604651,891.2790698,1.6204,263.65,0.693559,1.11182,4.3,1209.47,28.49,0.000788239,-0.006995725,0.025180311,0.005721915,-0.003780572,-0.013311798,0,0.014817798,0.112456072
positive,177.3,885,1.6414,263.8,0.697258,1.12586,4.3,1266.44,24.2,0.000787619,-0.00704501,0.012959763,0.000568936,0.00533336,0.012627943,0,0.047103277,-0.150579151
neutral,177.3869565,884.3478261,1.705,265.6,0.69513,1.1219,4.343478261,1261.2,24.44,0.000490449,-0.00073692,0.038747411,0.006823351,-0.003051955,-0.003517311,0.010111223,-0.004137583,0.009917355
neutral,177.473913,883.6956522,1.7078,268.05,0.70439,1.14261,4.386956522,1249.44,23.71,0.000490208,-0.000737463,0.001642229,0.009224398,0.013321249,0.018459756,0.01001001,-0.009324453,-0.029869067
positive,177.5608696,883.0434783,1.6904,282.75,0.694444,1.13792,4.430434783,1309.38,21.35,0.000489968,-0.000738007,-0.010188547,0.054840515,-0.014120019,-0.004104638,0.009910803,0.047973492,-0.099536061
negative,177.6478261,882.3913043,1.699,276.65,0.703505,1.16304,4.473913043,1267.93,22.14,0.000489728,-0.000738552,0.005087553,-0.021573828,0.013047848,0.022075366,0.009813543,-0.031656204,0.037002342
positive,177.6860465,881.255814,1.6726,266.15,0.705634,1.18085,4.518604651,1283.57,19.58,0.000215147,-0.001286833,-0.015538552,-0.037954094,0.003026276,0.015313317,0.009989378,0.012335066,-0.115627823
negative,177.6511628,879.3953488,1.6378,267.9,0.726677,1.1821,4.565116279,1255.85,20.7,-0.000196322,-0.002111152,-0.020805931,0.00657524,0.029821409,0.00105856,0.010293361,-0.021596017,0.057201226
negative,177.6162791,877.5348837,1.5884,273.95,0.711564,1.15998,4.611627907,1212.58,22.34,-0.000196361,-0.002115619,-0.030162413,0.022583053,-0.020797411,-0.018712461,0.010188487,-0.034454752,0.079227053
neutral,177.5813953,875.6744186,1.5252,273.85,0.707672,1.16497,4.658139535,1216.76,21.2,-0.000196399,-0.002120104,-0.039788466,-0.00036503,-0.005469642,0.004301798,0.010085729,0.003447195,-0.051029543
positive,177.5465116,873.8139535,1.4666,268.6,0.707541,1.17931,4.704651163,1234.45,18.92,-0.000196438,-0.002124608,-0.038421191,-0.019171079,-0.000185114,0.01230933,0.009985022,0.014538611,-0.10754717
negative,177.5116279,871.9534884,1.4322,267.2,0.709819,1.17958,4.751162791,1181.52,23.25,-0.000196477,-0.002129132,-0.023455612,-0.005212211,0.003219601,0.000228947,0.009886307,-0.042877395,0.228858351
positive,177.4767442,870.0930233,1.4094,266.85,0.71328,1.16989,4.797674419,1214.44,22.61,-0.000196515,-0.002133675,-0.015919564,-0.00130988,0.004875891,-0.008214788,0.009789525,0.027862415,-0.027526882
negative,177.4418605,868.2325581,1.3928,268.9,0.702861,1.1493,4.844186047,1171.65,25.24,-0.000196554,-0.002138237,-0.011778062,0.007682218,-0.014607167,-0.017599945,0.009694619,-0.035234347,0.116320212
positive,177.4069767,866.372093,1.3824,265.55,0.701619,1.14223,4.890697674,1211.23,21.62,-0.000196592,-0.002142819,-0.007466973,-0.012458163,-0.001767063,-0.006151571,0.009601536,0.033781419,-0.143423138
neutral,177.4186047,866.4651163,1.3792,266.7,0.702527,1.13283,4.937209302,1204.4,21.01,6.55E-05,0.000107371,-0.002314815,0.004330635,0.00129415,-0.008229516,0.009510223,-0.005638896,-0.028214616
negative,177.4418605,867.0465116,1.399,274.1,0.702946,1.11612,4.98372093,1186.73,20.48,0.000131079,0.000670997,0.014356148,0.027746532,0.000596418,-0.014750669,0.009420631,-0.014671206,-0.025226083
negative,177.4651163,867.627907,1.4392,276.95,0.692063,1.09299,5.030232558,1157.26,24.4,0.000131062,0.000670547,0.028734811,0.010397665,-0.015481986,-0.020723578,0.009332711,-0.024832944,0.19140625
neutral,177.4883721,868.2093023,1.4994,271.6,0.692434,1.09567,5.076744186,1161.51,22,0.000131044,0.000670098,0.041828794,-0.019317566,0.000536078,0.002451989,0.009246417,0.003672468,-0.098360656
negative,177.5116279,868.7906977,1.5414,272.25,0.687929,1.10019,5.123255814,1132.94,25.85,0.000131027,0.000669649,0.028011204,0.002393225,-0.006506035,0.00412533,0.009161704,-0.024597291,0.175
negative,177.5348837,869.372093,1.5274,271.4,0.685298,1.10872,5.169767442,1081.786,33.824,0.00013101,0.000669201,-0.009082652,-0.00312213,-0.003824523,0.007753206,0.009078529,-0.045151553,0.308471954
negative,177.5581395,869.9534884,1.5202,288.65,0.681452,1.08339,5.21627907,1032.74,38.87,0.000130993,0.000668753,-0.004713893,0.063559322,-0.005612157,-0.022846165,0.008996851,-0.045337987,0.149184011
negative,177.5813953,870.5348837,1.4712,287.95,0.684807,1.09291,5.262790698,1012.27,35.81,0.000130976,0.000668306,-0.032232601,-0.002425082,0.004923311,0.008787233,0.00891663,-0.019821059,-0.078723952
positive,177.5956522,873.3043478,1.4032,291.1,0.677255,1.09379,5.308695652,1051.33,31.18,8.03E-05,0.003181336,-0.046220772,0.010939399,-0.011027925,0.00080519,0.00872255,0.038586543,-0.129293493
neutral,177.573913,884.826087,1.3434,291.1,0.676771,1.08748,5.352173913,1056.75,34.83,-0.000122408,0.013193269,-0.042616876,0,-0.00071465,-0.005768932,0.008190008,0.005155375,0.117062219
positive,177.5521739,896.3478261,1.3002,281.25,0.68978,1.0996,5.395652174,1097.54,32.88,-0.000122423,0.013021473,-0.032157213,-0.033837169,0.019222159,0.011145033,0.008123477,0.03859948,-0.055986219
negative,177.5304348,907.8695652,1.259,274.9,0.700473,1.11791,5.439130435,1084.78,32,-0.000122438,0.012854094,-0.031687433,-0.022577778,0.015502044,0.01665151,0.008058018,-0.011626,-0.02676399
negative,177.5086957,919.3913043,1.2292,280.2,0.691038,1.11106,5.482608696,1059.79,33.46,-0.000122453,0.012690963,-0.023669579,0.019279738,-0.01346947,-0.006127506,0.007993605,-0.023036929,0.045625
positive,177.5139535,920.9302326,1.2012,278.9,0.685043,1.11129,5.513953488,1118.86,28.8,2.96E-05,0.001673856,-0.022779043,-0.004639543,-0.008675355,0.00020701,0.005717131,0.055737457,-0.139270771
positive,177.5372093,915.8139535,1.179,277.65,0.687163,1.11792,5.537209302,1139.09,26.47,0.000131008,-0.005555556,-0.018481518,-0.004481893,0.003094696,0.005966039,0.00421763,0.018080904,-0.080902778
neutral,177.5604651,910.6976744,1.159,273.75,0.704683,1.13514,5.560465116,1142.66,24.12,0.000130991,-0.005586592,-0.016963528,-0.014046461,0.025496134,0.015403607,0.004199916,0.003134081,-0.088779751
neutral,177.5837209,905.5813953,1.1232,273.65,0.709035,1.13725,5.58372093,1149.5,24,0.000130974,-0.005617978,-0.030888697,-0.000365297,0.006175827,0.001858802,0.00418235,0.005986033,-0.004975124
neutral,177.6069767,900.4651163,1.1054,276.55,0.701837,1.11945,5.606976744,1144.8,24.08,0.000130957,-0.005649718,-0.015847578,0.010597479,-0.010151826,-0.015651792,0.004164931,-0.004088734,0.003333333
neutral,177.6302326,895.3488372,1.0878,272.6,0.697038,1.12263,5.630232558,1136.76,25.3,0.00013094,-0.005681818,-0.015921838,-0.014283131,-0.00683777,0.002840681,0.004147657,-0.007023061,0.050664452
neutral,177.6534884,890.2325581,1.0616,278.85,0.686766,1.10815,5.653488372,1142.92,23.29,0.000130923,-0.005714286,-0.02408531,0.022927366,-0.014736643,-0.012898283,0.004130525,0.00541891,-0.07944664
neutral,177.6767442,885.1162791,1.0768,277.8166667,0.693621,1.13432,5.676744186,1147.01,22.455,0.000130905,-0.005747126,0.014318011,-0.003705696,0.009981566,0.023615936,0.004113534,0.003578553,-0.035852297
neutral,177.7,880,1.0992,277.3,0.687769,1.12418,5.7,1151.375,23.255,0.000130888,-0.005780347,0.020802377,-0.00185974,-0.008436884,-0.008939276,0.004096682,0.003805547,0.035626809
neutral,177.7652174,894.7826087,1.1118,278.2,0.693378,1.11802,5.7,1160.71,21.83,0.000367008,0.016798419,0.011462882,0.003245582,0.008155354,-0.00547955,0,0.008107697,-0.061277145
negative,177.8304348,909.5652174,1.1098,283.85,0.690052,1.1186,5.7,1146.19,22.7,0.000366874,0.016520894,-0.001798885,0.02030913,-0.004796806,0.000518774,0,-0.012509585,0.039853413
negative,177.8956522,924.3478261,1.1042,283.35,0.696165,1.13168,5.7,1119.31,23.61,0.000366739,0.01625239,-0.005045954,-0.001761494,0.008858753,0.011693188,0,-0.023451609,0.040088106
negative,177.9608696,939.1304348,1.104,277.8,0.709282,1.15795,5.7,1100.64,24.35,0.000366605,0.015992474,-0.000181127,-0.019587083,0.018841798,0.023213276,0,-0.016679919,0.031342651
neutral,178.05,945.5,1.1142,290.35,0.704008,1.15336,5.7,1090.02,25.45,0.000500843,0.006782407,0.00923913,0.045176386,-0.007435688,-0.003963902,0,-0.009648932,0.045174538
positive,178.175,939.25,1.1088,298.9,0.70458,1.14331,5.7,1107.5,21.62,0.00070205,-0.006610259,-0.004846527,0.029447219,0.000812491,-0.008713671,0,0.016036403,-0.150491159
negative,178.3,933,1.116,297.25,0.699597,1.14718,5.7,1083.34,24.43,0.000701557,-0.006654245,0.006493506,-0.005520241,-0.007072298,0.003384909,0,-0.021814898,0.129972248
positive,178.425,926.75,1.1216,293,0.700518,1.14743,5.7,1109.38,21.68,0.000701066,-0.006698821,0.005017921,-0.014297729,0.001316472,0.000217926,0,0.024036775,-0.112566517
positive,178.5761905,924.2380952,1.1598,296.6,0.703371,1.15206,5.719047619,1146.14,20.3,0.000847362,-0.002710445,0.034058488,0.012286689,0.0040727,0.004035105,0.003341688,0.033135625,-0.063653137
positive,178.7666667,927.3333333,1.236,292,0.703382,1.14278,5.766666667,1165.58,19.59,0.001066638,0.003348962,0.065700983,-0.015509103,1.56E-05,-0.008055136,0.008326395,0.016961279,-0.034975369
neutral,178.9571429,930.4285714,1.2988,293.2,0.701426,1.13343,5.814285714,1170.29,18.16,0.001065502,0.003337784,0.050809061,0.004109589,-0.00278085,-0.008181802,0.008257638,0.004040907,-0.072996427
negative,179.147619,933.5238095,1.3478,297.1,0.701411,1.13958,5.861904762,1138.49,18.13,0.001064368,0.00332668,0.037727133,0.013301501,-2.14E-05,0.005426008,0.008190008,-0.027172752,-0.001651982
