species,cpi,house sales,gas price,gold price,usd to pound,usd to euro,unemployment,s and p 500,volatility,cpi pdiff,house sales pdiff,gas price pdiff,gold price pdiff,usd to pound pdiff,usd to euro pdiff,unemployment pdiff,s and p 500 pdiff,volatility pdiff
positive,209.6188696,704.5652174,2.7684,728.8,0.490213,0.708471,4.7,1565.15,16.12,0.00170787,-0.025849113,-0.005746301,-0.009446143,0.002613844,0.009914243,0,0.011974422,-0.128177393
negative,209.9762609,685.8695652,2.7742,761.75,0.490953,0.704755,4.7,1538.53,20.02,0.001704958,-0.02653502,0.002095073,0.045211306,0.001509548,-0.005245098,0,-0.017007955,0.241935484
negative,210.3336522,667.173913,2.8328,757.5,0.48874,0.700494,4.7,1519.59,20.41,0.001702056,-0.02725832,0.021123207,-0.005579258,-0.00450756,-0.006046073,0,-0.012310452,0.019480519
neutral,210.6910435,648.4782609,2.9002,784,0.486546,0.694158,4.7,1531.02,21.07,0.001699164,-0.028022157,0.023792714,0.034983498,-0.004489094,-0.009045045,0,0.007521766,0.03233709
neutral,210.9274884,640.0232558,3.0326,817.55,0.479345,0.689858,4.720930233,1520.27,21.39,0.001122235,-0.013038224,0.045652024,0.042793367,-0.014800245,-0.006194555,0.004453241,-0.007021463,0.01518747
negative,211.0833023,638.3953488,3.1086,803.4,0.480596,0.683371,4.755813953,1481.05,24.1,0.000738709,-0.002543512,0.025061004,-0.01730781,0.002609811,-0.009403384,0.007389163,-0.025798049,0.126694717
negative,211.2391163,636.7674419,3.0986,789.65,0.487152,0.682064,4.790697674,1439.7,24.88,0.000738163,-0.002549998,-0.003216882,-0.017114762,0.013641395,-0.001912578,0.007334963,-0.027919382,0.032365145
neutral,211.3949302,635.1395349,3.0898,823.25,0.484352,0.674013,4.825581395,1428.23,26.28,0.000737619,-0.002556517,-0.002839992,0.042550497,-0.005747693,-0.011803878,0.007281553,-0.007966938,0.056270096
positive,211.5507442,633.5116279,3.0488,790.25,0.485796,0.682632,4.860465116,1462.79,23.79,0.000737075,-0.00256307,-0.013269467,-0.040085029,0.002981303,0.012787587,0.007228916,0.024197783,-0.094748858
positive,211.7065581,631.8837209,2.9996,806.75,0.491449,0.681817,4.895348837,1477.65,23.59,0.000736532,-0.002569656,-0.016137497,0.020879469,0.011636572,-0.001193908,0.007177033,0.010158669,-0.008406894
negative,211.8623721,630.255814,2.9944,796.25,0.495721,0.693957,4.930232558,1454.98,22.64,0.00073599,-0.002576276,-0.001733564,-0.013015184,0.008692662,0.017805364,0.007125891,-0.015341928,-0.040271301
positive,212.018186,628.627907,2.9946,814.3333333,0.504561,0.695081,4.965116279,1497.055,18.63,0.000735449,-0.002582931,6.68E-05,0.022710623,0.017832611,0.001619697,0.007075472,0.028917923,-0.177120141
negative,212.174,627,3.0642,838.625,0.501585,0.67984,5,1457.76,22.835,0.000734908,-0.002589619,0.023241835,0.029830127,-0.005898197,-0.021926941,0.007025761,-0.026248201,0.225711218
negative,212.2855217,619.6086957,3.1008,873.25,0.506966,0.679112,4.97826087,1390.19,25.43,0.000525615,-0.011788364,0.01194439,0.041287822,0.010727992,-0.00107084,-0.004347826,-0.046351937,0.11364134
neutral,212.3970435,612.2173913,3.0578,904.75,0.510572,0.674667,4.956521739,1380.95,23.34,0.000525338,-0.011928987,-0.013867389,0.036072144,0.007112903,-0.006545312,-0.004366812,-0.006646573,-0.082186394
negative,212.5085652,604.826087,3.009,862,0.512216,0.687009,4.934782609,1310.5,31.01,0.000525063,-0.012073006,-0.015959186,-0.047250622,0.003219918,0.018293469,-0.004385965,-0.051015605,0.328620394
positive,212.620087,597.4347826,2.9772,927.5,0.504544,0.680196,4.913043478,1362.3,27.32,0.000524787,-0.012220545,-0.010568295,0.075986079,-0.014978056,-0.009916901,-0.004405286,0.039526898,-0.118993873
negative,212.7467619,590.2857143,2.9744,889.75,0.507975,0.675219,4.904761905,1336.64,28.24,0.000595781,-0.011966274,-0.000940481,-0.040700809,0.0068002,-0.007317009,-0.00168563,-0.018835792,0.033674963
neutral,212.8961667,583.5,2.9764,920.25,0.513641,0.688627,4.916666667,1348.86,26.33,0.000702266,-0.011495644,0.000672405,0.034279292,0.011154092,0.019857261,0.002427184,0.009142327,-0.067634561
neutral,213.0455714,576.7142857,3.0596,916.5,0.510971,0.681736,4.928571429,1348.78,25.59,0.000701773,-0.01162933,0.027953232,-0.00407498,-0.005198183,-0.010006869,0.002421308,-5.93E-05,-0.028104823
positive,213.1949762,569.9285714,3.1364,934,0.508463,0.674623,4.94047619,1381.29,21.9,0.000701281,-0.011766163,0.02510132,0.019094381,-0.004908302,-0.010433658,0.002415459,0.024103264,-0.144196952
negative,213.344381,563.1428571,3.1746,981.75,0.503424,0.658315,4.952380952,1326.75,25.52,0.000700789,-0.011906254,0.012179569,0.051124197,-0.009910259,-0.024173501,0.002409639,-0.039484829,0.165296804
neutral,213.4937857,556.3571429,3.2368,980.5,0.496115,0.650824,4.964285714,1320.65,26.36,0.000700299,-0.012049721,0.01959302,-0.001273237,-0.014518577,-0.011379051,0.002403846,-0.004597701,0.032915361
neutral,213.6431905,549.5714286,3.279,1005.75,0.496425,0.635602,4.976190476,1330.74,25.79,0.000699808,-0.012196688,0.013037568,0.025752167,0.000624855,-0.023388812,0.002398082,0.007640177,-0.021623672
positive,213.7925952,542.7857143,3.2652,930.65,0.50476,0.648809,4.988095238,1352.99,25.72,0.000699319,-0.012347284,-0.0042086,-0.074670644,0.016790049,0.020778726,0.002392344,0.01672002,-0.00271423
positive,213.942,536,3.2984,897,0.502125,0.633036,5,1370.18,22.68,0.00069883,-0.012501645,0.01016783,-0.036157524,-0.005220303,-0.024310699,0.002386635,0.012705194,-0.118195956
neutral,214.2297273,528.7272727,3.3434,921,0.502563,0.636246,5.090909091,1365.54,22.36,0.001344884,-0.013568521,0.013642978,0.026755853,0.000872293,0.005070802,0.018181818,-0.003386416,-0.014109347
negative,214.5174545,521.4545455,3.4128,931.75,0.506994,0.633729,5.181818182,1334.43,22.78,0.001343078,-0.013755158,0.020757313,0.011672096,0.008816805,-0.003956017,0.017857143,-0.022782196,0.018783542
positive,214.8051818,514.1818182,3.527,920.75,0.501601,0.631273,5.272727273,1375.94,20.87,0.001341277,-0.013947001,0.03346226,-0.011805742,-0.010637207,-0.003875474,0.01754386,0.031106915,-0.083845478
positive,215.0929091,506.9090909,3.605,886,0.503438,0.639657,5.363636364,1390.94,20.24,0.00133948,-0.014144272,0.022115112,-0.037740972,0.003662273,0.0132811,0.017241379,0.010901638,-0.030186871
positive,215.4736744,502.1162791,3.6348,878,0.507071,0.647243,5.427906977,1418.26,18.21,0.001770237,-0.009454973,0.008266297,-0.009029345,0.00721638,0.011859481,0.011982657,0.019641394,-0.100296443
negative,215.9164651,498.9767442,3.7358,877,0.511763,0.646465,5.474418605,1403.04,17.98,0.002054964,-0.006252605,0.027786948,-0.001138952,0.009253142,-0.001202021,0.00856898,-0.01073146,-0.012630423
neutral,216.3592558,495.8372093,3.8202,907,0.511454,0.642324,5.520930233,1413.4,17.58,0.00205075,-0.006291946,0.022592216,0.034207526,-0.000603795,-0.006405606,0.008496177,0.007383966,-0.022246941
negative,216.8020465,492.6976744,3.9448,923.75,0.505018,0.634335,5.56744186,1385.35,19.64,0.002046553,-0.006331786,0.032616093,0.018467475,-0.012583732,-0.012437648,0.0084246,-0.019845762,0.117178612
neutral,217.2448372,489.5581395,3.9886,895.5,0.506795,0.643281,5.613953488,1377.65,20.24,0.002042373,-0.006372133,0.011103224,-0.030581867,0.003518686,0.014102958,0.008354219,-0.005558162,0.030549898
negative,217.6876279,486.4186047,4.0476,884.5,0.507178,0.63425,5.660465116,1358.44,23.18,0.00203821,-0.006412997,0.014792158,-0.01228364,0.00075573,-0.014038966,0.008285004,-0.013944035,0.145256917
neutral,218.1304186,483.2790698,4.0814,883,0.51208,0.648816,5.706976744,1350.93,21.13,0.002034065,-0.006454389,0.008350628,-0.001695873,0.009665246,0.022965708,0.008216927,-0.0055284,-0.088438309
negative,218.5732093,480.1395349,4.0822,888.5,0.507375,0.642046,5.753488372,1314.29,22.42,0.002029936,-0.006496319,0.000196011,0.006228766,-0.009188017,-0.010434391,0.008149959,-0.027122057,0.061050639
negative,219.016,477,4.0988,929.5,0.501549,0.633577,5.8,1284.91,23.65,0.002025823,-0.006538797,0.004066435,0.046145189,-0.011482631,-0.013190644,0.008084074,-0.022354275,0.054861731
neutral,218.9451304,467.8695652,4.1138,929.25,0.505723,0.637644,5.865217391,1273.7,23.15,-0.000323582,-0.019141373,0.003659608,-0.000268962,0.008322218,0.006419109,0.011244378,-0.008724346,-0.021141649
negative,218.8742609,458.7391304,4.1032,981.75,0.502928,0.62844,5.930434783,1214.91,28.54,-0.000323686,-0.019514915,-0.002576693,0.056497175,-0.005526741,-0.014434387,0.011119348,-0.046156866,0.232829374
positive,218.8033913,449.6086957,4.0422,973,0.500858,0.630632,5.995652174,1277,21.18,-0.000323791,-0.019903327,-0.014866446,-0.008912656,-0.004115897,0.003488002,0.010997067,0.051106666,-0.257883672
negative,218.7325217,440.4782609,3.94,928.75,0.502402,0.636239,6.060869565,1263.2,22.03,-0.000323896,-0.020307514,-0.025283262,-0.045477903,0.00308271,0.008891081,0.010877447,-0.010806578,0.0401322
positive,218.7078095,434.8095238,3.8658,884,0.507093,0.642068,6.1,1284.88,21.14,-0.000112979,-0.012869505,-0.018832487,-0.048183042,0.009337144,0.009161652,0.006456241,0.017162761,-0.040399455
neutral,218.7523333,434.3333333,3.7952,808.75,0.521233,0.667201,6.1,1289.59,21.17,0.000203577,-0.00109517,-0.018262714,-0.085124434,0.027884431,0.039143829,0,0.003665712,0.001419111
negative,218.7968571,433.8571429,3.729,791,0.535811,0.679948,6.1,1266.69,21.28,0.000203535,-0.001096371,-0.017443086,-0.02194745,0.027968298,0.019105187,0,-0.017757582,0.005196032
neutral,218.841381,433.3809524,3.684,809.75,0.540459,0.676966,6.1,1271.51,20.49,0.000203494,-0.001097574,-0.012067578,0.023704172,0.008674701,-0.004385629,0,0.003805193,-0.03712406
neutral,218.7914545,431.1818182,3.6736,802.5,0.552357,0.682527,6.118181818,1277.58,21.99,-0.00022814,-0.005074367,-0.002823018,-0.008953381,0.022014621,0.008214593,0.002980626,0.004773852,0.073206442
negative,218.3637273,422.0909091,3.6854,799.75,0.564757,0.700619,6.209090909,1224.51,25.47,-0.001954954,-0.021083702,0.003212108,-0.003426791,0.022449249,0.026507376,0.014858841,-0.041539473,0.158253752
neutral,217.936,413,3.8116,779.75,0.556837,0.70137,6.3,1213.6,30.3,-0.001958784,-0.021537799,0.03424323,-0.025007815,-0.014023731,0.001071909,0.014641288,-0.008909686,0.189634865
negative,217.5082727,403.9090909,3.7008,892.5,0.544304,0.687957,6.390909091,1188.22,35.72,-0.001962628,-0.022011886,-0.029069157,0.144597627,-0.022507484,-0.019124,0.014430014,-0.020912986,0.178877888
negative,217.0805455,394.8181818,3.6024,897,0.547436,0.689184,6.481818182,1166.36,39.39,-0.001966487,-0.022507315,-0.026588846,0.005042017,0.005754137,0.001783542,0.014224751,-0.018397266,0.102743561
negative,216.4743488,391.5116279,3.4174,881.75,0.567645,0.732116,6.574418605,996.23,53.68,-0.002792496,-0.008374878,-0.051354652,-0.017001115,0.036915731,0.062293959,0.01428618,-0.145864056,0.362782432
neutral,215.8235349,389.6511628,3.1036,849.5,0.583453,0.739902,6.66744186,998.01,55.13,-0.003006425,-0.004752005,-0.091824194,-0.036574993,0.027848391,0.010634927,0.014149275,0.001786736,0.027011923
negative,215.1727209,387.7906977,2.8624,781,0.577898,0.745477,6.760465116,955.05,53.11,-0.003015491,-0.004774694,-0.077716201,-0.080635668,-0.009520904,0.007534782,0.013951866,-0.043045661,-0.036640668
negative,214.521907,385.9302326,2.6048,745,0.636506,0.796386,6.853488372,940.51,66.96,-0.003024612,-0.004797601,-0.08999441,-0.04609475,0.101415821,0.068290504,0.01375989,-0.015224334,0.260779514
positive,213.871093,384.0697674,2.3648,734,0.621114,0.78341,6.946511628,1005.75,47.73,-0.003033788,-0.004820729,-0.092137592,-0.014765101,-0.024182019,-0.016293606,0.013573125,0.06936662,-0.28718638
negative,213.2202791,382.2093023,2.1936,741.75,0.636106,0.781538,7.039534884,898.95,61.44,-0.00304302,-0.004844081,-0.072395129,0.010558583,0.024137276,-0.002389553,0.013391363,-0.106189411,0.287240729
negative,212.5694651,380.3488372,2.036,736.5,0.675823,0.792916,7.13255814,859.12,67.64,-0.003052308,-0.00486766,-0.071845368,-0.007077856,0.062437707,0.014558473,0.013214404,-0.044307247,0.100911458
neutral,211.9186512,378.4883721,1.8758,802.5,0.6687,0.790597,7.225581395,857.39,60.9,-0.003061653,-0.00489147,-0.078683694,0.089613035,-0.010539742,-0.002924648,0.013042061,-0.002013688,-0.09964518
negative,211.422087,375.2173913,1.7886,772.5,0.656248,0.789053,7.32173913,848.81,62.98,-0.002343183,-0.008642223,-0.046486832,-0.037383178,-0.018621205,-0.001952955,0.013307958,-0.010007115,0.034154351
positive,211.5425217,366.3043478,1.691,771,0.677008,0.782141,7.430434783,888.67,58.91,0.000569641,-0.023754345,-0.054567818,-0.001941748,0.031634382,-0.008759868,0.014845606,0.046959861,-0.06462369
positive,211.6629565,357.3913043,1.6578,833.5,0.665913,0.743002,7.539130435,913.18,52.37,0.000569317,-0.024332344,-0.019633353,0.081063554,-0.016388285,-0.050040849,0.014628438,0.027580542,-0.111016805
negative,211.7833913,348.4782609,1.645,844,0.671246,0.716482,7.647826087,863.16,45.02,0.000568993,-0.024939173,-0.007721076,0.012597481,0.008008554,-0.03569304,0.014417532,-0.054775619,-0.140347527
positive,211.9038261,339.5652174,1.6272,870,0.683988,0.707585,7.756521739,890.64,41.63,0.00056867,-0.025577043,-0.010820669,0.030805687,0.018982608,-0.012417618,0.014212621,0.031836508,-0.075299867
positive,211.9850469,336.046875,1.704,844,0.68773,0.723749,7.85625,934.7,38.56,0.000383291,-0.010361316,0.04719764,-0.029885057,0.005470856,0.022843899,0.012857343,0.049470044,-0.073744896
negative,212.040125,336.125,1.7966,815.5,0.664172,0.744794,7.95,871.79,43.27,0.000259821,0.000232482,0.054342723,-0.033767773,-0.034254722,0.02907776,0.011933174,-0.067305018,0.122147303
negative,212.0952031,336.203125,1.8452,835,0.679667,0.753795,8.04375,805.22,56.65,0.000259753,0.000232428,0.027051097,0.023911711,0.0233298,0.012085221,0.011792453,-0.076360133,0.309221169
positive,212.1502813,336.28125,1.8488,896,0.725788,0.769709,8.1375,845.71,42.25,0.000259686,0.000232374,0.001951008,0.073053892,0.067858231,0.021111841,0.011655012,0.050284394,-0.25419241
neutral,212.2053594,336.359375,1.8988,902,0.695296,0.782206,8.23125,838.51,43.06,0.000259618,0.00023232,0.027044569,0.006696429,-0.042012268,0.016236006,0.011520737,-0.008513557,0.019171598
negative,212.2604375,336.4375,1.9336,896,0.674701,0.771579,8.325,827.16,46.67,0.000259551,0.000232266,0.018327365,-0.006651885,-0.029620478,-0.013585935,0.011389522,-0.013535915,0.083836507
negative,212.3155156,336.515625,1.953,962.25,0.700165,0.780962,8.41875,789.17,48.66,0.000259484,0.000232213,0.010033099,0.073939732,0.037741162,0.012160777,0.011261261,-0.045928236,0.042639811
negative,212.3705938,336.59375,1.914,989.75,0.690992,0.779589,8.5125,773.14,45.49,0.000259416,0.000232159,-0.019969278,0.028578852,-0.013101198,-0.001758088,0.011135857,-0.02031248,-0.06514591
negative,212.4256719,336.671875,1.9354,924.75,0.703324,0.792486,8.60625,696.33,50.93,0.000259349,0.000232105,0.011180773,-0.06567315,0.017846806,0.016543332,0.011013216,-0.099348113,0.119586722
positive,212.48075,336.75,1.9348,911.5,0.713056,0.790548,8.7,719.6,44.37,0.000259282,0.000232051,-0.000310013,-0.014328197,0.01383715,-0.002445469,0.010893246,0.033418063,-0.128804241
positive,212.5358281,336.828125,1.9204,920,0.71217,0.772642,8.79375,778.12,40.8,0.000259215,0.000231997,-0.00744263,0.009325288,-0.001242539,-0.022650111,0.010775862,0.081322957,-0.08045977
positive,212.5909063,336.90625,1.9788,928.75,0.689555,0.734722,8.8875,806.12,42.93,0.000259147,0.000231943,0.030410331,0.00951087,-0.031755058,-0.049078357,0.010660981,0.035984167,0.052205882
negative,212.6459844,336.984375,2.0442,918.5,0.701713,0.755401,8.98125,797.87,44.14,0.00025908,0.000231889,0.033050334,-0.011036339,0.017631661,0.028145339,0.010548523,-0.010234208,0.028185418
positive,212.719,344.0909091,2.0398,879.25,0.673345,0.74113,9.072727273,815.55,40.39,0.000343367,0.021088616,-0.002152431,-0.042732716,-0.040426784,-0.018891953,0.010185361,0.022158998,-0.084956955
positive,212.7965,352.9545455,2.0526,895,0.680314,0.756856,9.163636364,841.5,37.67,0.00036433,0.025759577,0.006275125,0.017912994,0.010349821,0.021218949,0.01002004,0.031819018,-0.067343402
positive,212.874,361.8181818,2.057,888.75,0.680008,0.769153,9.254545455,850.08,37.14,0.000364198,0.025112685,0.002143623,-0.00698324,-0.000449792,0.016247476,0.009920635,0.010196078,-0.014069551
neutral,212.9515,370.6818182,2.0548,897,0.683181,0.758625,9.345454545,855.16,37.95,0.000364065,0.024497487,-0.001069519,0.0092827,0.004666122,-0.013687784,0.009823183,0.005975908,0.02180937
positive,213.1687619,377.6190476,2.1104,903,0.669728,0.75214,9.40952381,903.8,33.36,0.001020241,0.018714782,0.027058595,0.006688963,-0.019691707,-0.008548361,0.006855661,0.056878245,-0.120948617
neutral,213.5956667,381.6666667,2.2538,920,0.658343,0.734099,9.433333333,908.35,31.8,0.002002661,0.010718789,0.067949204,0.018826135,-0.016999439,-0.023986226,0.002530364,0.0050343,-0.04676259
neutral,214.0225714,385.7142857,2.3342,921.5,0.65745,0.741598,9.457142857,908.13,28.8,0.001998658,0.010605115,0.035673085,0.001630435,-0.001356436,0.010215243,0.002523978,-0.000242197,-0.094339623
neutral,214.4494762,389.7619048,2.4528,942,0.628563,0.714216,9.480952381,910.33,30.62,0.001994672,0.010493827,0.050809699,0.022246337,-0.043937942,-0.036922969,0.002517623,0.002422561,0.063194444
positive,214.7877727,393.8181818,2.544,973.5,0.6144,0.706036,9.5,944.74,29.63,0.001577512,0.010407064,0.037181996,0.03343949,-0.022532348,-0.011453118,0.002009041,0.037799479,-0.032331809
neutral,214.7716364,397.9090909,2.6336,952.5,0.626672,0.717636,9.5,942.43,28.27,-7.51E-05,0.010387812,0.035220126,-0.021571649,0.019973958,0.016429757,0,-0.002445117,-0.045899426
negative,214.7555,402,2.6758,936.75,0.610185,0.717665,9.5,911.97,32.68,-7.51E-05,0.010281014,0.016023694,-0.016535433,-0.026308819,4.04E-05,0,-0.032320703,0.155995755
negative,214.7393636,406.0909091,2.6812,920.25,0.607746,0.719253,9.5,895.1,30.58,-7.51E-05,0.010176391,0.002018088,-0.017614091,-0.003997148,0.002212732,0,-0.018498416,-0.064259486
positive,214.7232273,410.1818182,2.636,941,0.605327,0.711667,9.5,919.32,26.35,-7.51E-05,0.010073875,-0.016858123,0.022548221,-0.003980281,-0.010547054,0,0.027058429,-0.138325703
negative,214.8254545,408.7272727,2.5952,925.75,0.614739,0.71644,9.527272727,881.03,30.85,0.000476089,-0.003546099,-0.015477997,-0.016206164,0.015548621,0.006706788,0.002870813,-0.04165035,0.170777989
positive,214.9572727,405.8863636,2.515,921.75,0.61722,0.717229,9.561363636,905.84,25.02,0.000613606,-0.006950623,-0.030903206,-0.004320821,0.004035859,0.001101279,0.003578244,0.028160222,-0.18897893
positive,215.0890909,403.0454545,2.471,947.75,0.609491,0.706286,9.595454545,954.58,23.87,0.00061323,-0.006999272,-0.01749503,0.028207215,-0.012522277,-0.015257331,0.003565486,0.053806412,-0.045963229
positive,215.2209091,400.2045455,2.5138,955,0.607782,0.703132,9.629545455,979.62,25.01,0.000612854,-0.007048607,0.017320923,0.007649697,-0.002803979,-0.004465613,0.003552819,0.026231432,0.047758693
positive,215.3527273,397.3636364,2.575,953.5,0.595968,0.699828,9.663636364,1005.65,24.89,0.000612479,-0.007098643,0.024345612,-0.001570681,-0.019437891,-0.004698975,0.003540241,0.026571528,-0.004798081
negative,215.4845455,394.5227273,2.645,946,0.601074,0.705225,9.697727273,994.35,25.99,0.000612104,-0.007149394,0.027184466,-0.007865758,0.008567574,0.007711895,0.003527752,-0.011236514,0.044194456
neutral,215.6163636,391.6818182,2.6352,938.25,0.608196,0.706836,9.731818182,989.67,26.18,0.000611729,-0.007200876,-0.003705104,-0.008192389,0.011848791,0.002284377,0.00351535,-0.004706592,0.007310504
